
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
27 he3+he4-->p+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.0180 prefac=1.0000 RGsymb:a+b<->c+d
28 he3+he4-->p+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.0180 prefac=1.0000 RGsymb:a+b<->c+d
29 p+li6-->he3+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.0180 prefac=1.0000 RGsymb:a+b<->c+d
30 p+li6-->he3+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.0180 prefac=1.0000 RGsymb:a+b<->c+d
31 he4+he4-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-18.9905 prefac=0.5000 RGsymb:a+b<->c+d
32 n+be7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.9905 prefac=1.0000 RGsymb:a+b<->c+d
33 he4+he4-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-17.3460 prefac=0.5000 RGsymb:a+b<->c+d
34 he4+he4-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-17.3460 prefac=0.5000 RGsymb:a+b<->c+d
35 p+li7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=17.3460 prefac=1.0000 RGsymb:a+b<->c+d
36 p+li7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=17.3460 prefac=1.0000 RGsymb:a+b<->c+d
37 n+p+he4-->li6 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=3.7000 prefac=1.0000 RGsymb:a+b+c<->d
38 li6-->n+p+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-3.7000 prefac=1.0000 RGsymb:a+b+c<->d
39 n+he4+he4-->be9 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=1.5740 prefac=1.0000 RGsymb:a+b+c<->d
